title_pt;title_en;year;rating;genre;sinopse;image;sinopse_aprimorada
Os Sete Samurais;22. Os Sete Samurais;1954;8.6;Ação;Uma aldeia pobre sob a ameaça de bandidos recruta sete samurais para ajudá-los a se defenderem.;https://m.media-amazon.com/images/M/MV5BNWQ3OTM4ZGItMWEwZi00MjI5LWI3YzgtNTYwNWRkNmIzMGI5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_QL75_UY562_CR11,0,380,562_.jpg;Uma pequena aldeia no Japão medieval está sendo ameaçada por bandidos. Desesperados, eles recrutam sete samurais para ajudá-los a se defenderem. Apesar de sua situação precária, os guerreiros se unem para lutar contra os invasores e proteger a aldeia.
Cidade de Deus;26. Cidade de Deus;2002;8.6;Policial;Os caminhos de duas crianças divergem nas favelas do Rio, enquanto um se esforça para se tornar um fotógrafo e o outro um chefe do tráfico.;https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX380_CR0,2,380,562_.jpg;Cidade de Deus mantém um Equilíbrio precário entre o sonho e a realidade. Dois jovens, um busca a fama como fotógrafo, o outro sonha em ser o dono do tráfico. Apesar de caminharem em direções opostas, suas histórias se entrelaçam naquela que é uma das favelas mais perigosas do Rio. Cidade de Deus retrata a luta pela sobrevivência num cenário onde a violência é a regra.
A Vida é Bela;27. A Vida é Bela;1997;8.6;Comédia;Quando um bibliotecário judeu e seu filho se tornarem vítimas do Holocausto, ele usará uma mistura perfeita de vontade, humor e imaginação para proteger seu filho dos perigos do campo de concentração.;https://m.media-amazon.com/images/M/MV5BYTY3M2NhODAtMTRiNC00OThlLTg3YTAtNjIwNjU2Zjg1MDFhXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY562_CR7,0,380,562_.jpg;Após a invasão da Polônia pelo Terceiro Reich, o bibliotecário judeu Guido Orefice e seu filho Giosué são levados para o campo de concentração de Auschwitz-Birkenau. Guido usa toda sua imaginação para proteger seu filho da brutalidade do campo, mostrando-lhe que a vida ainda é bela.
A Viagem de Chihiro;32. A Viagem de Chihiro;2001;8.6;Animação;Durante a mudança de casa, uma menina de dez anos se maravilha num mundo de dioses, bruxas e espíritus e onde os humanos são transformados em bestas.;https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX380_CR0,0,380,562_.jpg;A Viagem de Chihiro é um filme de animação japonês que conta a história de uma menina chamada Chihiro, que é transportada para um mundo mágico cheio de espíritos e monstros. Enquanto ela luta para encontrar um caminho de volta para o mundo real, Chihiro aprende muito sobre o verdadeiro significado da amizade e da família.
Parasita;35. Parasita;2019;8.5;Drama;Desempregados, a família de Ki-taek (Song Kang-ho) nutre um interesse peculiar pela família Park até que eles se veem presos em um inesperado incidente.;https://m.media-amazon.com/images/M/MV5BNDhhZjkyNGItY2VmZi00NjJhLWI0MzMtZTBlMjhlNzE0NzNiXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_QL75_UY562_CR4,0,380,562_.jpg;A família de Ki-taek está desempregada e vive em uma casa suja e apertada. Eles são extremamente ciumentos da família rica Park, que mora em uma bonita mansão. Um dia, os Park contratam a filha mais velha da família de Ki-taek, para cuidar de sua casa e dos seus dois filhos. A família de Ki-taek começa a se envolver com a família Park e os segredos que eles escondem, até que um inesperado incidente os prende.
Túmulo dos Vagalumes;45. Túmulo dos Vagalumes;1988;8.5;Animação;Um menino e sua irmã tentam sobreviver no Japão durante a Segunda Guerra Mundial.;https://m.media-amazon.com/images/M/MV5BNDU1OWExYjYtOTZlMy00MWY5LThkOGMtZjBhNDdiYTY4YTM0XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY562_CR9,0,380,562_.jpg;No Japão, durante a Segunda Guerra Mundial, um menino e sua irmã lutam para sobreviver. Enquanto lutam para manter a esperança viva, eles encontram um túmulo de vagalumes e aprendem que a bondade e a amizade podem iluminar até mesmo os momentos mais escuros.
Harakiri;46. Harakiri;1962;8.6;Ação;Um velho samurai ronin chega à casa de um senhor feudal e pede um lugar honroso para cometer suicídio. Mas quando o ronin pede um samurai mais jovem que chegou antes, os eventos seguem um curso inesperado.;https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UY562_CR17,0,380,562_.jpg;O velho samurai ronin Yasuke chega à casa do senhor feudal Matsudaira e pede um lugar honroso para cometer suicídio. Mas quando o ronin pede a um samurai mais jovem que chegou antes, os eventos seguem um curso inesperado.
Intocáveis;48. Intocáveis;2011;8.5;Biografia;Depois de ficar tetraplégico num acidente, um aristocrata contrata um jovem de um bairro pobre para cuidar dele.;https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_QL75_UX380_CR0,0,380,562_.jpg;Após um acidente que o deixou tetraplégico, um aristocrata contrata um jovem de um bairro pobre para cuidar dele. Juntos, enfrentam as adversidades da vida e aprendem a ver o mundo de um novo jeito.
Cinema Paradiso;50. Cinema Paradiso;1988;8.5;Drama;Um diretor de cinema lembra como, em sua infância, ele se apaixonou pelo cinema de sua cidade e iniciou uma profunda amizade com o projecionista.;https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_QL75_UX380_CR0,0,380,562_.jpg;Cinema Paradiso conta a história de um homem que se apaixona pelo cinema e inicia uma profunda amizade com o projecionista. Ele lembra como, durante sua infância, o cinema influenciou sua vida e o fez amar a sétima arte.
Era uma Vez no Oeste;51. Era uma Vez no Oeste;1968;8.5;Faroeste;Um misterioso estranhoe se junta com um bandido para proteger a uma viúva.;https://m.media-amazon.com/images/M/MV5BNzZiNjA5NzMtOGU1My00NjRiLTg4ODQtMTllNTNlZjYxNjQ3XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY562_CR9,0,380,562_.jpg;Esta é a história de um homem misterioso que se une a um bandido para proteger uma viúva. Juntos, eles lutam contra os capangas do homem que quer se casar com a viúva. Como eles lutam para sobreviver, o misterioso estranho começa a revelar sua verdadeira história para a viúva.
